row,column,cor,p
RH,DH,1,0
RGS,RTG,0.995706081390381,0
GS,RTG,0.904648065567017,0
GS,RGS,0.900652885437012,0
BB,GS,0.890794217586517,0
BB,RTG,0.824252843856812,0
BB,RGS,0.820461809635162,0
RH,FS,0.663275599479675,0
DH,FS,0.663275599479675,0
RH,WH,0.563910484313965,0
WH,DH,0.563910484313965,0
SS,FS,0.562713921070099,0
BLB,SHB,0.505240738391876,0
WH,FS,0.496213406324387,0
LS,BS,0.484531939029694,0
LM,RTG,0.482524305582047,0
LM,RGS,0.479447722434998,0
RH,SS,0.4748375415802,0
SS,DH,0.4748375415802,0
PM,DP,0.437368303537369,0
LM,GS,0.432860642671585,0
LM,BB,0.395780980587006,0
SS,WH,0.371100515127182,4.44089209850063e-16
LF,SHB,0.348593562841415,2.17603712826531e-14
BLS,GS,0.3282510638237,7.68496377645533e-13
BLS,BB,0.320577621459961,2.75734990395904e-12
BB,HB,0.315952181816101,5.85309578582383e-12
BLS,RTG,0.312620550394058,9.98534588347866e-12
BLS,RGS,0.310393780469894,1.4216849919535e-11
RS,RTG,0.293267816305161,1.95171878658584e-10
RS,RGS,0.290640980005264,2.87311507918275e-10
RS,SHR,0.267436444759369,7.38245686804362e-09
LB,RGS,0.262384951114655,1.4385233448877e-08
RS,GS,0.26033028960228,1.87944699803211e-08
PM,RB,0.255242258310318,3.60826297729488e-08
LB,RTG,0.252636462450027,5.01223409443696e-08
HB,RTG,0.2452412545681,1.24895875419639e-07
HB,RGS,0.245157137513161,1.26178662185339e-07
RTG,SHR,0.244381427764893,1.38622658907295e-07
RGS,SHR,0.241765722632408,1.89916092185882e-07
LM,SHR,0.238467961549759,2.81010086755629e-07
FS,HB,0.235829100012779,3.829210171169e-07
BLS,SHR,0.234306201338768,4.57035374656911e-07
RS,BB,0.230418652296066,7.14070930829536e-07
SR,NBS,0.228582978248596,8.79171196288553e-07
LB,GS,0.228036910295486,9.34975185495901e-07
RS,HB,0.223313167691231,1.58210209022513e-06
WM,NBS,0.221912756562233,1.84504975719868e-06
BS,RS,0.217652320861816,2.92751538855107e-06
GS,SHR,0.215382277965546,3.72993555863843e-06
HB,GS,0.21472641825676,3.99840654363715e-06
LS,RTG,0.211892992258072,5.38541082706345e-06
LS,RGS,0.210256174206734,6.38466281577266e-06
WH,HB,0.199566826224327,1.8780063613999e-05
FS,SHB,0.198702961206436,2.04407889821123e-05
BB,SHR,0.196419402956963,2.55278835563644e-05
LB,BB,0.195096641778946,2.90013384574017e-05
LM,BLS,0.190604120492935,4.44459754349591e-05
LS,GS,0.189044594764709,5.14287741009145e-05
LS,RS,0.187220841646194,6.09076953441701e-05
RTH,LB,0.182584002614021,9.29691047972803e-05
NB,LB,0.17967177927494,0.00012061877934233
RH,HB,0.177152514457703,0.000150599321486311
DH,HB,0.177152514457703,0.000150599321486311
RB,NBS,0.168781697750092,0.000308198702080098
LS,BB,0.168642237782478,0.000311811045140775
RT,RB,0.15654031932354,0.000828180923817534
BLB,BLS,0.153777465224266,0.00102535313710006
DP,BLB,0.153599351644516,0.00103944316791504
RH,SHB,0.153468400239944,0.00104991601090476
DH,SHB,0.153468400239944,0.00104991601090476
RB,WM,0.152011856436729,0.00117314673591373
NB,LM,0.142066180706024,0.00243955563834986
RT,RH,0.135168939828873,0.00394911694571798
RT,DH,0.135168939828873,0.00394911694571798
WM,SHB,0.130316838622093,0.00547234794961882
SS,RGS,0.130174174904823,0.00552422178074852
SS,RTG,0.129731118679047,0.00568815268861833
RH,BLS,0.129638582468033,0.00572293822166658
DH,BLS,0.129638582468033,0.00572293822166658
LF,NBS,0.125613480806351,0.00743389655671045
LM,BS,0.124188661575317,0.00814126735524079
LF,BLB,0.122684612870216,0.00895254762508668
SS,HB,0.121454320847988,0.00966886396710631
NBS,SHR,0.118632115423679,0.0115075995307803
BLB,SHR,0.117924906313419,0.0120142784783082
DP,SHR,0.117099069058895,0.0126308128362893
GS,SHB,0.116258069872856,0.0132871896874454
LM,LB,0.114004112780094,0.0151967514272893
SS,GS,0.111749775707722,0.0173434345621815
WH,RGS,0.106022596359253,0.0240272904128043
WH,BLS,0.10506884008646,0.0253335513763173
BLS,NBS,0.104148209095001,0.026652089814144
WH,RTG,0.103859014809132,0.0270782874783486
DP,HB,0.103834576904774,0.0271145698174933
LM,RS,0.100858017802238,0.0318581556963489
BB,SHB,0.0991955474019051,0.0348038988572732
SS,LF,0.098856009542942,0.0354332223187708
LM,LS,0.0984979271888733,0.0361073760224886
HB,SHB,0.0983879342675209,0.0363166328321494
BS,SHR,0.0973777696490288,0.0382870565021594
PM,RTG,0.0951712876558304,0.04290770105119
WM,BLB,0.0943673923611641,0.0447040286935907
PM,RGS,0.0942823439836502,0.0448977175072034
SS,BB,0.0941740721464157,0.0451453154511241
LB,SHB,-0.0930305644869804,0.0478310683563699
NB,SHB,-0.0939757227897644,0.0456018807102903
NB,BLB,-0.0955727994441986,0.0420335286249562
RH,WM,-0.0968769192695618,0.039297139204135
DH,WM,-0.0968769192695618,0.039297139204135
RT,LB,-0.0983590260148048,0.0363718001847197
DP,LB,-0.101402297616005,0.0309412367030875
NBS,SHB,-0.103742763400078,0.0272512569603593
RT,LF,-0.105463758111,0.0247854231404485
RH,BS,-0.110164880752563,0.0190071117635096
DH,BS,-0.110164880752563,0.0190071117635096
BLB,BS,-0.111681841313839,0.0174120450303898
RT,BS,-0.112556546926498,0.0165465254320756
BS,SHB,-0.142903074622154,0.00229774045171105
BLB,LB,-0.154222041368484,0.000990949200834423
