country_season,Node,Edges,avg_p,CC
CP_ds,20,54.0,1.9496402877697843,0.7267605633802817
CP_ws,22,68.0,2.5238095238095237,0.703030303030303
OR_ds,10,17.0,1.1904761904761905,0.8181818181818182
OR_ws,17,36.0,1.9761904761904763,0.727810650887574
RR_ds,19,26.0,2.1549295774647885,0.5833333333333334
RR_ws,16,29.0,2.7333333333333334,0.5192307692307693
TM_ds,18,33.0,2.322314049586777,0.7099236641221374
TM_ws,14,46.0,1.5604395604395604,0.6767676767676768
WJ_ds,28,111.0,1.9894179894179893,0.555439330543933
WJ_ws,18,33.0,1.7808219178082192,0.6260869565217392
