vars,mean,sd,median,mad,min,max,skew,kurtosis
BB,0.03,0.33,0,0,0,5.80,14.43,228.44
BLB,113.64,178.34,0,0,0,886.67,1.86,2.93
BLS,4.94,28.26,0,0,0,444.48,10.35,138.48
BS,147.54,386.19,0,0,0,2999.42,5.09,30.22
DH,3.18,5.62,0,0,0,32.33,2.49,6.50
DP,3.54,12.39,0,0,0,101.62,5.70,36.17
FS,2.41,6.61,0,0,0,35.74,2.90,7.35
GS,0.02,0.26,0,0,0,5.10,17.38,317.16
HB,0.41,1.13,0,0,0,9.80,4.18,22.02
LB,17.06,38.50,0,0,0,226.21,2.79,8.43
LF,114.48,156.86,76.74,70.16,0,1180.29,3.94,18.95
LM,2.93,14.33,0,0,0,160.47,7.63,68.27
LS,3.13,22.06,0,0,0,302.08,9.82,110.91
NB,0.60,2.14,0,0,0,19.32,5.69,38.72
NBS,53.98,178.50,0,0,0,2213.54,6.49,58.95
PM,0.23,2.51,0,0,0,44.42,14.35,229.31
RB,0.53,3.08,0,0,0,40.98,8.52,87.20
RGS,0.01,0.16,0,0,0,3.40,21.02,445.24
RH,3.18,5.62,0,0,0,32.33,2.49,6.50
RS,8.14,31.13,0,0,0,336.71,5.32,37.10
RT,1.47,4.02,0,0,0,41.56,4.90,32.92
RTG,0.01,0.18,0,0,0,3.80,21.28,453.00
RTH,9.01,34.69,0,0,0,470.55,7.52,79.09
SHB,11.67,15.49,4.72,7.00,0,68.65,1.60,2.08
SHR,0.66,2.23,0,0,0,17.41,4.24,19.76
SR,0.00,0.07,0,0,0,1.39,21.28,453.00
SS,1.40,4.91,0,0,0,46.01,4.47,24.33
WH,3.53,5.18,1.67,2.47,0,36.64,2.36,7.45
WM,36.72,71.63,0,0,0,583.41,3.84,21.16
