"","prod_env","season","year","long","lat"
"1","Red rive delta","dry_season","2013",106.2334,20.4816
"2","Red rive delta","dry_season","2015",106.391,20.8
"3","Red rive delta","dry_season","2015",106.385,20.797
"4","Red rive delta","wet_season","2015",106.394,20.799
"5","Red rive delta","dry_season","2015",106.386,20.797
"6","Red rive delta","dry_season","2015",106.392,20.799
"7","Red rive delta","dry_season","2015",106.398,20.787
"8","Red rive delta","dry_season","2015",106.231,20.477
"9","Red rive delta","dry_season","2015",106.231,20.477
"10","Red rive delta","dry_season","2015",106.239,20.476
"11","Red rive delta","dry_season","2015",106.384,20.793
"12","Red rive delta","dry_season","2015",106.387,20.795
"13","Red rive delta","dry_season","2015",106.398,20.786
"14","Red rive delta","dry_season","2015",106.398,20.787
"15","Red rive delta","dry_season","2015",106.384,20.793
"16","Red rive delta","dry_season","2015",106.399,20.785
"17","Red rive delta","dry_season","2015",106.394,20.799
"18","West Java","dry_season","2013",107.471,-6.28915
"19","West Java","dry_season","2013",107.471,-6.2891
"20","West Java","dry_season","2013",107.47245,-6.28895
"21","West Java","dry_season","2013",107.471366666667,-6.28611666666667
"22","West Java","dry_season","2013",107.138733333333,-6.28923333333333
"23","West Java","dry_season","2013",107.007862777778,-6.30245861111111
"24","West Java","dry_season","2013",107.472633333333,-6.31541666666667
"25","West Java","dry_season","2013",107.471733333333,-6.31416666666667
"26","West Java","dry_season","2013",107.471733333333,-6.3085
"27","Central plain","wet_season","2013",100.15801,14.64735
"28","Central plain","wet_season","2013",100.19383,14.69941
"29","Central plain","wet_season","2013",100.19131,14.69959
"30","Central plain","wet_season","2013",100.16916,14.67126
"31","Central plain","wet_season","2013",100.15812,14.64735
"32","Central plain","wet_season","2013",100.15812,14.64735
"33","Central plain","wet_season","2013",100.19379,14.69936
"34","Central plain","wet_season","2013",100.1898,14.69831
"35","Central plain","wet_season","2013",100.19027,14.69848
"36","Central plain","wet_season","2013",100.19759,14.6075
"37","Central plain","wet_season","2013",100.19758,14.60801
"38","Central plain","wet_season","2013",100.19698,14.6077
"39","West Java","dry_season","2013",107.471766666667,-6.31418333333333
"40","West Java","dry_season","2013",107.4775,-6.30175
"41","West Java","dry_season","2013",107.472,-6.30376666666667
"42","West Java","dry_season","2013",107.471833333333,-6.30528333333333
"43","West Java","dry_season","2013",107.473883333333,-6.30541666666667
"44","West Java","dry_season","2013",107.4714,-6.30758333333333
"45","West Java","wet_season","2013",107.47555,-6.31373333333333
"46","West Java","wet_season","2013",107.474566666667,-6.31428333333333
"47","Central plain","wet_season","2013",100.1973,14.60739
"48","Central plain","wet_season","2013",100.20232,14.60223
"49","Central plain","wet_season","2013",100.19559,14.60784
"50","West Java","dry_season","2014",107.49,-6.266
"51","West Java","wet_season","2013",107.470883333333,-6.31411666666667
"52","Central plain","wet_season","2013",100.20091,14.60259
"53","Central plain","wet_season","2013",100.20011,14.61033
"54","Central plain","wet_season","2013",100.20038,14.61004
"55","Central plain","wet_season","2013",100.19827,14.61488
"56","West Java","wet_season","2013",107.47135,-6.3306
"57","Central plain","wet_season","2013",100.17402,14.63069
"58","West Java","wet_season","2013",107.47025,-6.31333333333333
"59","West Java","wet_season","2013",107.55,-6.29211666666667
"60","West Java","dry_season","2014",107.45,-6.28
"61","West Java","wet_season","2013",107.47655,-6.2907
"62","West Java","wet_season","2013",107.476883333333,-6.29135
"63","West Java","wet_season","2013",107.473683333333,-6.30113333333333
"64","Central plain","dry_season","2013",100.1649,14.66783
"65","Central plain","dry_season","2013",100.16387,14.66754
"66","Central plain","dry_season","2013",100.16301,14.67885
"67","Central plain","dry_season","2013",100.16302,14.68077
"68","Central plain","dry_season","2013",100.19176,14.6705
"69","Central plain","dry_season","2013",100.19018,14.66983
"70","Central plain","dry_season","2013",100.18964,14.66965
"71","Central plain","dry_season","2013",100.19163,14.65594
"72","Central plain","dry_season","2013",100.19158,14.65808
"73","Central plain","dry_season","2013",100.19156,14.65785
"74","Central plain","dry_season","2013",100.17774,14.67459
"75","Red rive delta","dry_season","2013",106.2336,20.4817
"76","Red rive delta","dry_season","2013",106.2351,20.4832
"77","Red rive delta","dry_season","2013",106.232,20.4813
"78","Central plain","dry_season","2013",100.15984,14.64009
"79","West Java","wet_season","2013",107.48056,-6.27408
"80","Central plain","dry_season","2013",100.18236,14.64939
"81","Central plain","dry_season","2013",100.1666,14.62793
"82","Central plain","dry_season","2013",100.16653,14.62793
"83","Central plain","dry_season","2013",100.19513,14.60803
"84","West Java","wet_season","2013",107.48313,-6.27874
"85","Central plain","dry_season","2013",100.19545,14.60875
"86","Central plain","dry_season","2013",100.19472,14.60826
"87","Central plain","dry_season","2013",100.19959,14.60541
"88","Central plain","dry_season","2013",100.20596,14.60774
"89","Red rive delta","dry_season","2013",20.7904,106.3898
"90","Red rive delta","dry_season","2014",106.3899,20.7907
"91","Red rive delta","dry_season","2014",106.3899,20.7906
"92","Tamil Nadu","wet_season","2013",79.56215,11.0648666666667
"93","Red rive delta","dry_season","2014",106.3899,20.7906
"94","Red rive delta","dry_season","2014",106.3899,20.7906
"95","Red rive delta","dry_season","2013",106.23194,20.47703
"96","Red rive delta","wet_season","2014",106.3919,20.800327
"97","Red rive delta","wet_season","2014",106.3929,20.799788
"98","West Java","wet_season","2013",107.471,-6.3076
"99","Red rive delta","dry_season","2013",106.23147,20.47462
"100","Red rive delta","dry_season","2013",106.23183,20.477
"101","Red rive delta","wet_season","2014",106.3859,20.797268
"102","Red rive delta","wet_season","2014",106.3945,20.799427
"103","Red rive delta","wet_season","2014",106.386,20.797781
